iter	Passed	Remaining
826	16247	3398
827	16262	3378
828	16278	3357
829	16294	3337
830	16310	3317
831	16335	3298
832	16351	3278
833	16365	3257
834	16379	3236
835	16391	3215
836	16404	3194
837	16417	3173
838	16430	3152
839	16443	3132
840	16457	3111
841	16471	3090
842	16483	3069
843	16492	3048
844	16507	3027
845	16523	3007
846	16534	2986
847	16548	2966
848	16563	2945
849	16575	2925
850	16589	2904
851	16601	2883
852	16616	2863
853	16630	2843
854	16645	2822
855	16659	2802
856	16672	2782
857	16686	2761
858	16698	2740
859	16711	2720
860	16726	2700
861	16739	2679
862	16752	2659
863	16767	2639
864	16781	2619
865	16793	2598
866	16806	2578
867	16819	2557
868	16833	2537
869	16846	2517
870	16860	2497
871	16872	2476
872	16885	2456
873	16897	2436
874	16912	2416
875	16925	2395
876	16940	2375
877	16954	2355
878	16970	2336
879	16984	2316
880	16998	2296
881	17013	2276
882	17028	2256
883	17042	2236
884	17057	2216
885	17070	2196
886	17083	2176
887	17097	2156
888	17119	2137
889	17134	2117
890	17158	2099
891	17196	2082
892	17230	2064
893	17266	2047
894	17284	2027
895	17299	2007
896	17314	1988
897	17326	1968
898	17340	1948
899	17355	1928
900	17370	1908
901	17391	1889
902	17408	1870
903	17425	1850
904	17439	1830
905	17453	1810
906	17468	1791
907	17481	1771
908	17493	1751
909	17508	1731
910	17522	1711
911	17535	1692
912	17549	1672
913	17563	1652
914	17577	1632
915	17591	1613
916	17603	1593
917	17618	1573
918	17631	1553
919	17643	1534
920	17656	1514
921	17669	1494
922	17684	1475
923	17698	1455
924	17711	1436
925	17725	1416
926	17738	1396
927	17753	1377
928	17767	1357
929	17779	1338
930	17794	1318
931	17808	1299
932	17820	1279
933	17835	1260
934	17848	1240
935	17860	1221
936	17872	1201
937	17887	1182
938	17901	1162
939	17914	1143
940	17927	1124
941	17940	1104
942	17957	1085
943	17973	1066
944	17987	1046
945	18001	1027
946	18015	1008
947	18029	988
948	18043	969
949	18058	950
950	18072	931
951	18085	911
952	18097	892
953	18113	873
954	18129	854
955	18141	834
956	18153	815
957	18164	796
958	18178	777
959	18193	758
960	18206	738
961	18220	719
962	18232	700
963	18247	681
964	18259	662
965	18274	643
966	18288	624
967	18301	605
968	18316	585
969	18329	566
970	18342	547
971	18354	528
972	18366	509
973	18378	490
974	18392	471
975	18403	452
976	18417	433
977	18428	414
978	18447	395
979	18463	376
980	18476	357
981	18488	338
982	18500	319
983	18513	301
984	18525	282
985	18536	263
986	18549	244
987	18563	225
988	18576	206
989	18587	187
990	18600	168
991	18614	150
992	18627	131
993	18640	112
994	18653	93
995	18667	74
996	18681	56
997	18694	37
998	18708	18
999	18721	0
